cycle,voltage,current,temperature,capacity
1,4.185,1.485,24.3,1.982
2,4.182,1.482,24.5,1.981
3,4.179,1.479,24.7,1.980
4,4.176,1.476,24.9,1.978
5,4.173,1.473,25.1,1.976
6,4.170,1.470,25.3,1.974
7,4.167,1.467,25.5,1.972
8,4.164,1.464,25.7,1.970
9,4.161,1.461,25.9,1.968
10,4.158,1.458,26.1,1.966
11,4.155,1.455,26.3,1.964
12,4.152,1.452,26.5,1.962
13,4.149,1.449,26.7,1.960
14,4.146,1.446,26.9,1.958
15,4.143,1.443,27.1,1.956
16,4.140,1.440,27.3,1.954
17,4.137,1.437,27.5,1.952
18,4.134,1.434,27.7,1.950
19,4.131,1.431,27.9,1.948
20,4.128,1.428,28.1,1.946
25,4.113,1.413,28.6,1.938
30,4.098,1.398,29.1,1.930
35,4.083,1.383,29.6,1.922
40,4.068,1.368,30.1,1.914
45,4.053,1.353,30.6,1.906
50,4.038,1.338,31.1,1.898
55,4.023,1.323,31.6,1.890
60,4.008,1.308,32.1,1.882
65,3.993,1.293,32.6,1.874
70,3.978,1.278,33.1,1.866
75,3.963,1.263,33.6,1.858
80,3.948,1.248,34.1,1.850
85,3.933,1.233,34.6,1.842
90,3.918,1.218,35.1,1.834
95,3.903,1.203,35.6,1.826
100,3.888,1.188,36.1,1.818
105,3.873,1.173,36.6,1.810
110,3.858,1.158,37.1,1.802
115,3.843,1.143,37.6,1.794
120,3.828,1.128,38.1,1.786
125,3.813,1.113,38.6,1.778
130,3.798,1.098,39.1,1.770
135,3.783,1.083,39.6,1.762
140,3.768,1.068,40.1,1.754
145,3.753,1.053,40.6,1.746
150,3.738,1.038,41.1,1.738
